,0
1,1.1905049949277645e-06
2,6.417355830646467e-07
3,6.083418020769188e-07
4,5.434959954679167e-07
5,5.387161855927763e-07
6,5.082377292761119e-07
7,5.380140228426773e-07
8,5.202236047253104e-07
9,5.069573862944282e-07
10,4.954309245525073e-07
11,5.225381017059825e-07
12,5.109969379424854e-07
13,5.168204706233854e-07
14,5.081526582670889e-07
15,5.351703111590903e-07
16,5.075883955535964e-07
17,5.43843818925418e-07
18,5.38877761509374e-07
19,5.185640773747881e-07
20,5.027083072188058e-07
21,5.19959018396513e-07
22,5.030239366186245e-07
23,5.363727105433356e-07
24,5.376753147366272e-07
25,5.357429859671185e-07
26,5.383149351398745e-07
27,5.364729554503447e-07
28,5.132307146246044e-07
29,5.369739649144985e-07
30,5.322322609204635e-07
31,5.004188301546392e-07
32,5.072463865936146e-07
33,5.369849111674232e-07
34,5.357714816890582e-07
35,5.353353876521245e-07
36,5.293762479052398e-07
37,5.094105632835566e-07
38,5.299497255938473e-07
39,5.393393383873207e-07
40,5.223910847554699e-07
41,5.108921079936483e-07
42,5.358717666940301e-07
43,5.188718279943061e-07
44,5.072765542122123e-07
45,5.140186842702144e-07
46,5.137255537322212e-07
47,5.43243195543446e-07
48,5.081950071162962e-07
49,5.38338362538788e-07
50,5.097938032422369e-07
51,5.409227748186147e-07
52,5.336345033042215e-07
53,5.131063276903763e-07
54,5.046776872832065e-07
55,5.119791694596643e-07
56,5.075647599736972e-07
57,5.080997191953666e-07
58,5.111111179612186e-07
59,5.746377107429879e-07
60,5.117341544675454e-07
61,5.389389567877967e-07
62,5.125129653967728e-07
63,5.302231504809032e-07
64,5.069791010707073e-07
65,5.166838872982334e-07
66,5.387775603455971e-07
67,5.138287274118886e-07
68,5.381763424271277e-07
69,5.127066032408279e-07
70,5.3913915851242e-07
71,5.145511008528521e-07
72,5.093554927064242e-07
73,5.984954424041306e-07
74,5.562125081637359e-07
75,5.482483005665758e-07
76,5.116910002406274e-07
77,5.468938145135624e-07
78,5.135330370235764e-07
79,5.435435272633444e-07
80,5.419678781761313e-07
81,5.220738895468364e-07
82,5.395791769463509e-07
83,5.445892059730407e-07
84,5.209016360256146e-07
85,5.144926679417526e-07
86,5.237409721280832e-07
87,5.175129468540705e-07
88,5.462926330477866e-07
89,5.502040466479007e-07
90,5.409638435090331e-07
91,5.147879775129586e-07
92,5.354709328767677e-07
93,5.422422379030156e-07
94,5.246421265923409e-07
