,0
1,9.688508931327716e-07
2,5.46292585659285e-07
3,6.307846033780309e-07
4,7.123618695859203e-07
5,7.823233207807679e-07
6,8.103622497381245e-07
7,8.084178402130615e-07
8,8.42886223155831e-07
9,8.785933241078195e-07
10,8.947154387490487e-07
11,9.139654031744897e-07
12,9.790370968549251e-07
13,9.45306159597489e-07
14,9.492827504174307e-07
15,1.0191575262542355e-06
16,1.022311477558032e-06
17,1.0278738548920896e-06
18,1.02418368015253e-06
19,1.0643584323634893e-06
20,1.0967806981941142e-06
21,1.1143144415508423e-06
22,1.1240647112796718e-06
23,1.1284560339636236e-06
24,1.1214649454915057e-06
25,1.2107106435273003e-06
26,1.1635176615436191e-06
27,1.1752024300604764e-06
28,1.176830432298355e-06
29,1.1886204538955039e-06
30,1.2144578012299302e-06
31,1.1699178235297469e-06
32,1.1948327911454381e-06
33,1.222759298311991e-06
34,1.254334686182706e-06
35,1.2133197377225456e-06
36,1.2506073102051476e-06
37,1.2489230460069406e-06
38,1.2643148728652527e-06
39,1.2856853849888038e-06
40,1.3494483705686169e-06
41,1.3338013580386549e-06
42,1.3427135690194952e-06
43,1.334909465070486e-06
44,1.317408823377315e-06
45,1.3334009635940592e-06
46,1.3513078302204968e-06
47,1.3732931868701024e-06
48,1.344648328983338e-06
49,1.326836703513863e-06
50,1.3793730686375865e-06
51,1.3668351995389574e-06
52,1.3905050663096416e-06
53,1.4028168302493159e-06
54,1.4080726893115451e-06
55,1.390514562784447e-06
56,1.3862665095897098e-06
57,1.444277053137392e-06
58,1.4263847023919262e-06
59,1.4649999034840481e-06
60,1.4360970705681686e-06
61,1.4699097232528333e-06
62,1.4297353033101577e-06
63,1.4011190373354354e-06
64,1.476228775675133e-06
65,1.480788709567549e-06
66,1.4885974302641225e-06
67,1.462525506583308e-06
68,1.4824898663881379e-06
69,1.4944668565628493e-06
70,1.5432596369400541e-06
71,1.4934476351505333e-06
72,1.4853118645951108e-06
73,1.5524340322161846e-06
74,1.5139201408258792e-06
75,1.5023398206989439e-06
76,1.5015353252617938e-06
