,0
1,1.6835176174753537e-06
2,1.4862348857255151e-06
3,1.2177685284994307e-06
4,1.5157041474108197e-06
5,1.441889100189816e-06
6,1.4733063987328193e-06
7,1.3758799882895384e-06
8,1.7066941545373663e-06
9,1.7632057110418944e-06
10,1.6850360766929259e-06
11,1.6875256948981952e-06
12,1.7350806435769623e-06
13,1.6662897896569583e-06
14,1.871991937078867e-06
15,1.7260868885886025e-06
16,2.0189690610667517e-06
17,2.044183610432439e-06
18,2.009805899504163e-06
19,2.066833734213009e-06
20,2.0694863617132735e-06
21,2.134893178531951e-06
22,2.121414107739728e-06
23,2.118611691125633e-06
24,2.0557027078665654e-06
25,2.044933401724989e-06
26,2.114084508315467e-06
27,2.0564908467142975e-06
28,2.1874874836830023e-06
29,1.99979250845224e-06
30,1.9748967141153537e-06
31,2.037256931316035e-06
32,2.311248697276334e-06
33,2.4509510195868145e-06
34,2.344674338991614e-06
35,2.291097223193975e-06
36,2.3107326561772485e-06
37,2.314315163442888e-06
38,2.3228305869173907e-06
39,2.346358900794234e-06
40,2.3410787876379964e-06
41,2.3218556662803015e-06
42,2.2654849308158337e-06
43,2.367751789841818e-06
44,2.336111076311745e-06
45,2.340083008379166e-06
46,2.288095310710488e-06
47,2.371486822129445e-06
48,2.317283922169691e-06
49,2.3997969674844728e-06
50,2.4489919863504664e-06
51,2.335440411191395e-06
52,2.3579486990526605e-06
53,2.3245613419696384e-06
54,2.312124401440728e-06
55,2.3404123698428426e-06
56,2.3204123525707454e-06
57,2.3110196229725516e-06
58,2.3361963123761135e-06
59,2.4513292243546597e-06
60,2.2993802018345752e-06
61,2.34250516528039e-06
62,2.3131334728061973e-06
63,2.2873967409846834e-06
64,2.599273913907548e-06
65,2.761391075886598e-06
66,2.6175802348556255e-06
67,2.681688717307072e-06
68,2.712040793771941e-06
69,2.6487073759454945e-06
70,2.6638516726729533e-06
71,2.7170081719931225e-06
72,2.7312500510707914e-06
73,2.685315318333636e-06
74,2.62031087517941e-06
75,2.6870370581599984e-06
76,2.748670784742495e-06
77,2.6579710526447782e-06
78,2.6684590915279153e-06
79,2.7119877500570242e-06
80,2.8063636478930335e-06
81,2.660874082499962e-06
82,2.6604123536578966e-06
83,2.6614829325934836e-06
84,2.754095071492127e-06
85,2.67329888844973e-06
86,2.6406638554434576e-06
87,2.788064167282517e-06
88,2.627018635604949e-06
89,2.653063326901906e-06
90,2.63298860252806e-06
91,2.623991707880185e-06
92,2.7370820056494675e-06
93,2.715971493714092e-06
94,2.757446799152922e-06
95,2.8316950199972845e-06
96,2.672997984976137e-06
97,2.6327851808997002e-06
98,2.652321960261645e-06
99,2.6777662941054348e-06
100,2.7740442487308137e-06
101,2.715951030260211e-06
102,2.8405024745529656e-06
103,2.6768594309468733e-06
104,2.826452968117897e-06
105,2.717718962971652e-06
106,2.677230782305392e-06
107,2.747336025766076e-06
108,2.6646997317079815e-06
109,2.6481442677622817e-06
110,2.62399176807425e-06
111,2.6594871955099875e-06
112,2.7145472342633506e-06
113,2.730606108959153e-06
114,2.6095975634317087e-06
115,2.567117550146488e-06
116,2.620207341695494e-06
117,2.737096730426504e-06
118,2.5706126398819394e-06
119,2.6075335417012036e-06
120,2.6458762055046897e-06
121,2.648453664733097e-06
122,2.6460348906431414e-06
123,2.76914583466451e-06
124,2.7754527101596777e-06
125,2.6567287958628647e-06
126,2.6410547238721625e-06
127,2.736122442744387e-06
128,3.100806492834489e-06
129,2.957497406900199e-06
130,2.9139438054464276e-06
131,2.9624229878759933e-06
132,2.9273292254757783e-06
133,3.1270079438195446e-06
134,3.003189277355157e-06
135,3.0884306071903763e-06
136,2.9736297586901476e-06
137,2.936645976220032e-06
138,2.9336797543501253e-06
139,2.9903688516883375e-06
140,2.8612500007814865e-06
141,3.112036068642366e-06
142,2.9377847313750766e-06
143,2.942665240662182e-06
144,2.97436158145912e-06
145,3.0731312834159143e-06
146,3.1589589744945662e-06
147,2.9730175797869263e-06
148,3.085584749427536e-06
149,2.9898233788967064e-06
150,2.997720217781016e-06
151,3.126046929452083e-06
152,2.9814967843198087e-06
153,2.992363216136068e-06
154,2.950259085944878e-06
155,2.991718407414225e-06
156,2.931568023816635e-06
157,2.9663212072294822e-06
158,2.9478215723754006e-06
159,2.994014520621719e-06
160,3.0244376540378283e-06
161,3.000206212613962e-06
162,3.0106405439473448e-06
163,3.0027921692585726e-06
164,2.9322948791379224e-06
165,3.1173427638649265e-06
166,3.1560681973525147e-06
167,2.9996907560229205e-06
168,3.146485985517614e-06
169,2.926998967989053e-06
170,2.9964912145447092e-06
171,3.0672113808950235e-06
172,2.9661122824717895e-06
173,3.0665654087122606e-06
174,3.1427845113477253e-06
175,3.033024689630335e-06
176,3.218118172617642e-06
177,2.932057890154021e-06
178,2.9346154069514916e-06
179,3.001548050138936e-06
180,3.016942173417192e-06
181,2.9752322592651443e-06
182,3.2325325474840823e-06
183,3.0578840229959187e-06
184,3.0052795722154135e-06
185,3.0511201600223597e-06
186,2.970777199708572e-06
187,3.0006191603922535e-06
188,2.9847668719096736e-06
189,3.057841110998023e-06
190,3.138794035015478e-06
191,2.9739626200605935e-06
192,3.04933614044025e-06
193,3.074720764277399e-06
194,2.994032866460915e-06
195,2.955937554816046e-06
196,3.024077755742569e-06
197,2.9489096567936065e-06
198,2.9491701265879136e-06
199,2.968879586256677e-06
200,2.953678846342364e-06
201,3.066020423032068e-06
202,3.054845342610617e-06
203,2.9671875684774326e-06
204,2.9795005848257182e-06
205,3.0124742159987176e-06
206,2.985192932044297e-06
207,3.116971524795508e-06
208,3.1906344170151287e-06
209,3.2086345709834145e-06
210,3.047010351420073e-06
211,2.997210670829258e-06
212,2.9565036412472396e-06
213,2.9552549286818173e-06
214,3.063626972569361e-06
215,3.0472876168103526e-06
216,2.979625732489821e-06
217,3.1143146678438967e-06
218,3.0378212189499983e-06
219,2.9715328413349256e-06
220,3.0138716421005224e-06
221,3.0193181869849055e-06
222,3.0104990009610055e-06
223,3.005601691528459e-06
224,3.0033057698369513e-06
225,3.011995822995672e-06
226,3.029752045500377e-06
227,3.016165776903273e-06
228,3.0466049388956485e-06
229,3.125252429398266e-06
230,3.043647517247858e-06
231,2.97763970058448e-06
232,2.9387331156322185e-06
233,3.0134436219348935e-06
234,3.0371369824805627e-06
235,3.0919469693434973e-06
236,3.129364249084331e-06
237,2.9861889058469696e-06
238,3.0113284901838583e-06
239,3.155722875802836e-06
240,3.1516064370360065e-06
241,2.968322983734439e-06
242,2.9320871970144333e-06
243,3.010164310754558e-06
244,2.909593319758769e-06
245,2.955197483826847e-06
246,2.9328823508500946e-06
247,3.0349693050991805e-06
248,3.1554554515968994e-06
249,2.923744888987176e-06
250,2.966493231987699e-06
251,2.998765397813543e-06
252,3.215015027677879e-06
253,2.9568157124448893e-06
254,2.9881864890499627e-06
255,3.0007246608099194e-06
256,3.513353472939285e-06
257,3.4808930732998397e-06
258,3.7838249629678912e-06
259,3.8052313399273468e-06
260,3.6804061125949742e-06
261,3.8117351700059523e-06
262,3.5854317465616326e-06
263,3.6757170932344065e-06
264,3.7194898308074218e-06
265,3.70425963738903e-06
266,3.609593274496443e-06
267,3.6566252561693905e-06
268,3.6863212270416086e-06
269,3.6612435383058678e-06
270,3.704994824819381e-06
271,3.6949169454857983e-06
272,3.7293996139538934e-06
273,3.832893394085054e-06
