,0
0,2.3361616156003405e-06
1,5.789795933244291e-07
2,1.0044715440193015e-06
3,6.691370540269657e-07
4,5.940996968681709e-07
5,6.49648239628668e-07
6,6.912155223596368e-07
7,8.092118736646952e-07
8,8.392893379421246e-07
9,8.946626425989237e-07
10,9.008196706605252e-07
11,9.58655803136946e-07
12,1.0067346923740528e-06
13,1.107841139691921e-06
14,1.3496932530664734e-06
15,1.4247715763461982e-06
16,1.4171428528949752e-06
17,1.4868232912186893e-06
18,1.5408766579511922e-06
19,1.6130479084886868e-06
20,1.7103061220548078e-06
21,1.8325486160999243e-06
22,1.9214723948369966e-06
23,2.005515835379085e-06
24,2.0842479664402738e-06
25,2.1552497463192797e-06
26,2.2461695585019395e-06
27,2.346890926477055e-06
28,2.4654749743965656e-06
29,2.5811031664160202e-06
30,2.645824849415326e-06
31,2.701942735455231e-06
32,2.7646938768700182e-06
33,2.8689725318209833e-06
34,2.971938778447408e-06
35,3.0940816352412817e-06
36,3.144728759573687e-06
37,3.2393476052561595e-06
38,3.2930753563180887e-06
39,3.397046844200757e-06
40,3.4840490786797447e-06
41,3.6391836765113677e-06
42,3.561719549897248e-06
43,3.6471544690924684e-06
44,3.7085714304086594e-06
45,3.87643442677153e-06
46,3.943589745745157e-06
47,4.0177732389208125e-06
48,4.059670779772163e-06
49,4.142492339622107e-06
50,4.231140801089038e-06
51,4.366051281178257e-06
52,4.6567703132125445e-06
53,4.516768915684442e-06
54,4.599691675857292e-06
55,4.698258194323546e-06
56,4.8420245378527936e-06
57,4.8943589727001286e-06
58,5.017160367753374e-06
59,5.108588955334148e-06
60,5.199385247125087e-06
61,5.291581109155218e-06
62,5.457581970376413e-06
63,5.5121801451955534e-06
64,5.683148334734022e-06
65,5.701020411460637e-06
66,5.81793032821787e-06
67,5.9115541913548185e-06
68,5.963271607262977e-06
69,6.0433846139700946e-06
70,6.172205122582525e-06
71,6.336680327327489e-06
72,6.417025641900555e-06
73,6.504800821120248e-06
74,6.535897437177669e-06
75,6.706422019350316e-06
76,6.767523124137382e-06
77,6.902363824626435e-06
78,6.997433264626352e-06
79,7.029012347336419e-06
80,7.173921969107669e-06
81,7.348459962722592e-06
82,7.662192623404742e-06
83,7.520735445124893e-06
84,7.623673467427769e-06
85,7.775025584807313e-06
86,7.828995901130486e-06
87,7.908188329636379e-06
88,7.985538460986437e-06
89,8.105948717564925e-06
90,8.243909928975235e-06
91,8.336615384063151e-06
92,8.39794871869624e-06
93,8.515621794142232e-06
94,8.745233270949544e-06
95,8.82625127884851e-06
96,8.94657813858096e-06
97,9.030439223234718e-06
98,9.177766395241908e-06
99,9.435306119154556e-06
100,9.631836734435675e-06
101,9.57936669874134e-06
102,9.665443424949345e-06
103,9.844126657319379e-06
104,9.92069317330751e-06
105,1.016006097547695e-05
106,1.0139999998023782e-05
107,1.0334118852730757e-05
108,1.037846938538272e-05
109,1.0564693875912037e-05
110,1.0579815570856384e-05
111,1.0838792218403176e-05
112,1.0865883553983705e-05
113,1.1111656443657467e-05
114,1.1211902339699745e-05
115,1.134483111537204e-05
116,1.1368275154981357e-05
117,1.169049079857062e-05
118,1.1726278116724738e-05
119,1.1703476484803819e-05
120,1.1878345249520334e-05
121,1.1996839958435646e-05
122,1.2149846783010808e-05
123,1.2262040816962354e-05
124,1.2314897957464512e-05
125,1.2554878049244636e-05
126,1.2633706719380642e-05
127,1.2996262627682587e-05
128,1.2806938777786474e-05
129,1.301042944867472e-05
130,1.323319755530276e-05
131,1.3350814666581085e-05
132,1.3366051283029288e-05
133,1.3604883011010867e-05
134,1.3808443544601665e-05
135,1.407374872175437e-05
136,1.3985452695767344e-05
137,1.4100304572066353e-05
138,1.4154684317341068e-05
139,1.4286952088762066e-05
140,1.454048830071995e-05
141,1.460000000101482e-05
142,1.4720633298567841e-05
143,1.4907448982858206e-05
144,1.4995301330458088e-05
145,1.5094693877168952e-05
146,1.517689161713931e-05
147,1.539317023593728e-05
148,1.543673469311334e-05
149,1.5700713558361302e-05
150,1.5760776300527328e-05
151,1.6178775510643482e-05
152,1.619456967348905e-05
153,1.628669395935405e-05
154,1.6302865916267208e-05
155,1.6476554533295096e-05
156,1.659267548326949e-05
157,1.6693660529122335e-05
158,1.689604462433146e-05
159,1.6993692778527566e-05
160,1.7146537679045792e-05
161,1.719020407984036e-05
162,1.7402446481351643e-05
163,1.752889114884959e-05
164,1.7649693253635883e-05
165,1.7900204082902678e-05
166,1.804534288412553e-05
167,1.8136307694097317e-05
168,1.8562142855598976e-05
169,1.8684505607400476e-05
170,1.8641446031003764e-05
171,1.876449644199945e-05
172,1.8950920248525386e-05
173,1.9099286441226777e-05
174,1.929499489214911e-05
175,1.9280898875481506e-05
176,1.942561224681777e-05
177,1.9512065437906957e-05
178,1.9750458717377026e-05
179,1.9886978638853788e-05
180,2.0020387358774767e-05
181,2.0186400817128497e-05
182,2.0201431492070852e-05
183,2.0488367348988553e-05
184,2.0666598567124216e-05
185,2.1010542477186138e-05
186,2.0907464216169392e-05
187,2.1067349031155276e-05
188,2.1279038854472283e-05
189,2.139898063139693e-05
190,2.164118246527987e-05
191,2.169632652992834e-05
192,2.196475995939749e-05
193,2.203496932357689e-05
194,2.2202344547111187e-05
195,2.239745676741392e-05
196,2.256334012187635e-05
197,2.2668947905395426e-05
198,2.2785772772809667e-05
199,2.3061656440740075e-05
200,2.3191504605908485e-05
201,2.3307983623244428e-05
202,2.353336734793627e-05
203,2.3661656439977902e-05
204,2.3780286009180223e-05
205,2.380368475098376e-05
206,2.4128861788366007e-05
207,2.4125153374691196e-05
208,2.425771194797408e-05
209,2.4416921508757544e-05
210,2.4583844581669624e-05
211,2.462661207571743e-05
212,2.4819856703495803e-05
213,2.4896000000059106e-05
214,2.5060596710665492e-05
