,0
1,2.216950860883342e-06
2,7.510902818852334e-07
3,5.979381554781641e-07
4,5.787473953748791e-07
5,5.479210253375081e-07
6,5.455114854106462e-07
7,5.472251111995039e-07
8,5.832664943092553e-07
9,5.834539509207422e-07
10,5.565939426940972e-07
11,5.479750495698005e-07
12,5.773869071076226e-07
13,5.490155549782661e-07
14,5.49325094816274e-07
15,5.541322528842109e-07
16,5.826961818131032e-07
17,5.486486816058505e-07
18,5.513513330362927e-07
19,5.822645446410653e-07
20,5.420668207467213e-07
21,5.779116384156261e-07
22,5.812437199766084e-07
23,5.501553959423106e-07
24,5.585215442244526e-07
25,5.792964218551733e-07
26,5.472367065541089e-07
27,5.958876392146462e-07
28,5.543477764940294e-07
29,5.872618272613805e-07
30,5.974541603191139e-07
31,5.62886604721197e-07
32,5.543659052234568e-07
33,5.888888355203763e-07
34,5.931795234119364e-07
35,5.543094317802071e-07
36,5.863727194505308e-07
37,5.71413666779309e-07
38,5.845536822672661e-07
39,5.52133211910116e-07
40,5.651282061500332e-07
41,5.554744638250101e-07
42,5.872872144401491e-07
43,5.704153868984978e-07
44,5.828657261068412e-07
45,5.845845639901432e-07
46,5.547150877820704e-07
47,5.546305537573667e-07
48,5.900802354156627e-07
49,5.768603334586904e-07
50,5.591710199423404e-07
51,5.977822917385868e-07
52,5.699380568886745e-07
53,5.922768412542286e-07
54,5.504682744416127e-07
55,5.537017628650557e-07
56,5.855711830457026e-07
57,5.797583227102576e-07
58,5.541102735749199e-07
59,5.588418768414016e-07
60,5.954261383321523e-07
61,5.553125068521088e-07
62,5.859438061747367e-07
63,5.884422237947396e-07
64,5.560291422411932e-07
65,6.056224663326251e-07
66,5.84814019066095e-07
67,5.616182579426578e-07
68,5.639462982769093e-07
69,5.900502908651965e-07
70,5.582898876574415e-07
71,5.620083016091302e-07
72,5.855371425188559e-07
73,6.081243148089901e-07
74,6.086010108291717e-07
75,6.015059837347259e-07
76,5.779381119526117e-07
77,5.599168717809436e-07
78,6.066132160132277e-07
79,6.039195896439891e-07
80,5.883720818013838e-07
81,5.72360253157229e-07
82,6.00100247173756e-07
83,5.944667744049258e-07
84,5.978936798414711e-07
85,5.634854694345823e-07
86,5.691434180203506e-07
87,5.655991245017383e-07
88,5.752040699601877e-07
89,6.02502479962352e-07
90,6.266800391767081e-07
91,5.650826104342252e-07
92,5.676652784860974e-07
93,6.131181093348673e-07
94,5.970825690057474e-07
95,6.044176853650874e-07
96,6.01502985822761e-07
97,5.697219094669641e-07
98,5.654563897393674e-07
99,5.996994049727397e-07
100,6.009018007117157e-07
101,5.646570703475068e-07
102,6.017102500654746e-07
103,5.879188189873954e-07
104,5.981928150716096e-07
105,6.078391955421311e-07
106,6.019076443547065e-07
107,5.677385006379625e-07
108,6.213426667945422e-07
109,5.970824335880252e-07
110,5.704050400158486e-07
111,6.042084281805451e-07
112,5.745884323473004e-07
113,5.745901333165287e-07
114,6.362261101953577e-07
115,5.80785130416399e-07
116,5.871926845668254e-07
117,6.000000403793725e-07
118,5.660769789788337e-07
119,5.991951293912595e-07
120,5.676012274604639e-07
121,6.035105403222671e-07
122,5.936428524098452e-07
123,5.680828729531018e-07
124,5.669438803792116e-07
125,5.672181894891484e-07
126,5.917338072439664e-07
127,6.026051439452666e-07
128,5.963767430885824e-07
129,5.850762168422984e-07
130,6.03306573963321e-07
131,5.674273251395004e-07
132,5.974899473388298e-07
133,5.975975668420446e-07
134,5.975927711931995e-07
135,6.079055303222456e-07
136,6.00704191547961e-07
137,6.000000340322977e-07
138,6.034067824176365e-07
139,5.660788350822153e-07
140,5.691511566508716e-07
141,5.67461193268974e-07
142,5.813645877753993e-07
143,5.698346901850482e-07
144,5.9969915727358e-07
145,6.053052531243922e-07
146,5.880976935158392e-07
147,5.977889518522606e-07
148,5.955555337490608e-07
149,6.046092401261913e-07
150,6.281563605124482e-07
151,6.069347537918269e-07
152,6.02311551823613e-07
153,5.737823944471275e-07
154,6.033199422295211e-07
155,6.008048398549981e-07
156,6.104508720156565e-07
157,6.024120514451914e-07
158,5.661795987107933e-07
159,5.685684013449011e-07
160,5.978915750855078e-07
161,5.95555489652348e-07
162,5.696465582814331e-07
163,5.76525388304539e-07
164,5.734439948800742e-07
165,6.4443337210639e-07
166,5.768356209916025e-07
167,6.092183915923866e-07
168,5.808930382517438e-07
169,6.114687292822084e-07
170,5.840206324943755e-07
171,6.045180731256638e-07
172,5.770661051083002e-07
173,5.865030435920009e-07
174,5.786377505360361e-07
175,6.370741729568578e-07
176,6.508048985050841e-07
177,6.797582341987858e-07
178,6.429429479314852e-07
179,6.507507605674874e-07
180,6.569708541790892e-07
181,6.021671199578103e-07
182,6.307924111500296e-07
183,5.899481887029185e-07
184,5.839377764728249e-07
