,0
1,1.6412713965690036e-06
2,6.297959288883935e-07
3,5.658291398439949e-07
4,5.922690897969151e-07
5,6.254509035735866e-07
6,6.233569422592686e-07
7,6.391038422464714e-07
8,6.860720973208973e-07
9,7.155465968119012e-07
10,7.254583043873295e-07
11,7.560803969133289e-07
12,7.686432188929025e-07
13,7.813008283196317e-07
14,8.148593819549636e-07
15,8.18819960060322e-07
16,8.652261266749277e-07
17,9.056622731825195e-07
18,9.31483299124189e-07
19,9.478304632828974e-07
20,9.786075070196356e-07
21,9.71039299664955e-07
22,1.06454540262789e-06
23,1.0484264347156236e-06
24,1.0414141411963624e-06
25,1.1057056765350793e-06
26,1.082807760481985e-06
27,1.1292509908723336e-06
28,1.1575757672850306e-06
29,1.1505061361221371e-06
30,1.2401009610244966e-06
31,1.2506572144467165e-06
32,1.2518743268865715e-06
33,1.3583583994248827e-06
34,1.3463389897173029e-06
35,1.34460296865473e-06
36,1.379112006529487e-06
37,1.3868902564487454e-06
38,1.3677880695924185e-06
39,1.4427995558594582e-06
40,1.4667686616819615e-06
41,1.4902119623218953e-06
42,1.575075069334483e-06
43,1.5763397337030713e-06
44,1.5457490192083378e-06
45,1.6240081951777249e-06
46,1.5773238558966697e-06
47,1.6688129173812383e-06
48,1.6497466671023434e-06
49,1.6897959632879808e-06
50,1.681568180920998e-06
51,1.7160204968567253e-06
52,1.7850305681171885e-06
53,1.7867752381421376e-06
54,1.782251536526432e-06
55,1.8445564181444839e-06
56,1.8608917097920568e-06
57,1.811824624937419e-06
58,1.9916750720836844e-06
59,1.9396341678095373e-06
60,2.0059777656747e-06
61,1.9677777575020857e-06
62,2.019693832208963e-06
63,2.0778679754585028e-06
64,2.105443484417206e-06
65,2.133028370676547e-06
66,2.198388721564811e-06
67,2.1680851282423085e-06
68,2.187116672465833e-06
69,2.2077236510115217e-06
70,2.2833840291970245e-06
71,2.2839068272881595e-06
72,2.2723123086269276e-06
73,2.2966360250130963e-06
74,2.462766969650851e-06
75,2.302760716746961e-06
76,2.356693780721018e-06
77,2.50101318489595e-06
78,2.4838578416894987e-06
79,2.4605504484008427e-06
80,2.4996933032168603e-06
81,2.60572284813054e-06
82,2.6098178061979507e-06
83,2.61448836007147e-06
84,2.6578203390324706e-06
85,2.6907801040197727e-06
86,2.63628050849614e-06
87,2.702224357675147e-06
88,2.693075324169715e-06
89,2.747034750706688e-06
90,2.8418863689740383e-06
91,2.7628049785444017e-06
92,2.803651075195058e-06
93,2.7714720399764265e-06
94,2.853651083266725e-06
95,2.8608961163853084e-06
96,2.8206153738443766e-06
97,2.934146289967097e-06
98,2.930030680418041e-06
99,3.0292338916267675e-06
100,2.9600203205845087e-06
101,2.986591541156613e-06
102,3.0362894388628226e-06
103,3.1511581484448776e-06
104,3.0661900601501026e-06
105,3.1548879670238602e-06
106,3.214984636384259e-06
107,3.249544098965254e-06
108,3.235203959255679e-06
109,3.173210598943338e-06
110,3.290964462758907e-06
111,3.3355397141449413e-06
112,3.3049129776345868e-06
113,3.438555456358998e-06
114,3.3035750147806664e-06
115,3.3884929037129396e-06
116,3.4512689814023524e-06
117,3.6906060877942827e-06
118,3.7027272415486154e-06
119,3.6138037609123075e-06
120,3.4889001815089985e-06
121,3.613414604827758e-06
122,3.577663936412733e-06
123,3.650050867974923e-06
124,3.6968400025283147e-06
125,3.661184823599504e-06
126,3.5405101308632375e-06
127,3.714067304430237e-06
128,3.757259788631808e-06
129,3.7610997425905827e-06
130,4.002947155722205e-06
131,3.887106620749165e-06
132,3.861514850557251e-06
133,3.89004060160345e-06
134,3.904892984419543e-06
135,4.059248042507741e-06
136,4.0121428559805095e-06
137,4.131734708700643e-06
138,4.156836710498449e-06
139,4.133299390872886e-06
140,4.088175339457198e-06
141,4.2793489453472325e-06
142,4.223625336674349e-06
143,4.23967441418284e-06
144,4.255395635962725e-06
145,4.201331939541097e-06
146,4.4086558284399685e-06
147,4.324898023065654e-06
148,4.421165663384021e-06
149,4.35265850132676e-06
150,4.448012280810499e-06
151,4.427715741378033e-06
152,4.4588593728690975e-06
153,4.331294554312999e-06
154,4.505924431609981e-06
155,4.705589428961436e-06
156,4.537614742051867e-06
157,4.704179509023582e-06
158,4.564089571818139e-06
159,4.858610294463839e-06
160,4.806313730108641e-06
161,4.838259113827147e-06
162,4.713408435946769e-06
163,4.8926680811096166e-06
164,4.972052850247772e-06
165,4.870050703766306e-06
166,4.780894377608632e-06
167,5.208324861262457e-06
168,4.899693841271444e-06
169,5.102022275411268e-06
170,5.101736495425912e-06
171,5.228787851978488e-06
172,4.984317817751322e-06
173,5.134314762222755e-06
174,5.151169837759438e-06
175,5.257360320739202e-06
176,5.429633486300637e-06
177,5.45546556337499e-06
178,5.179755865033225e-06
179,5.288742395941051e-06
180,5.2333672265432175e-06
181,5.182484621248472e-06
182,5.146381251055179e-06
183,5.028542300231022e-06
184,5.408682269230913e-06
185,5.390408103044231e-06
186,5.408273745392163e-06
187,5.468044304829926e-06
188,5.499898173999314e-06
189,5.613880458378951e-06
190,5.515864912929069e-06
191,5.415117519299297e-06
192,5.601507470587353e-06
193,5.8140672966598165e-06
194,5.733198009822565e-06
195,5.670701908144251e-06
196,5.7322188334956125e-06
197,5.906464671951277e-06
198,5.499692249428242e-06
199,5.690640992722317e-06
200,5.56173452386414e-06
201,5.723217987043351e-06
202,5.736707585398584e-06
203,6.193893960180894e-06
204,5.980445867883921e-06
205,5.978963429705009e-06
206,6.069543118899461e-06
207,6.098466259952309e-06
208,6.1301619168191864e-06
209,6.282555735346523e-06
210,5.901833058778498e-06
211,6.1658215553770845e-06
212,6.043762724032647e-06
213,5.858751248344045e-06
214,6.292719915924741e-06
215,6.093679929870559e-06
216,6.0647600123207385e-06
217,5.92016467373409e-06
218,6.30750504566043e-06
219,6.150966379165011e-06
220,6.1427840643131986e-06
221,5.974541755082311e-06
222,6.31137062079831e-06
223,6.3301731949096794e-06
224,6.130603902744217e-06
225,6.596258852725728e-06
226,6.366496423434892e-06
227,6.430603878446517e-06
228,6.253673415571661e-06
229,6.77251517534767e-06
230,6.541836818523363e-06
231,6.165808505321355e-06
232,6.822403201744693e-06
233,6.460882924727568e-06
234,6.596216774546324e-06
235,6.764097379419705e-06
236,6.698165112625994e-06
237,6.837741583179529e-06
238,6.621089748021846e-06
239,6.686340487385539e-06
240,6.821421325161845e-06
241,6.97589380748901e-06
242,6.8609265358870045e-06
243,6.930030603895242e-06
244,6.781641023758895e-06
245,7.382612999373036e-06
246,6.854795938867325e-06
247,6.830682992719438e-06
248,6.92874613179679e-06
249,6.891955217910132e-06
250,7.078995905863312e-06
251,7.0833670931812055e-06
252,7.389350908339207e-06
253,7.0255103254362906e-06
254,6.9818461279516135e-06
255,7.096761125029133e-06
256,7.2257375409888215e-06
257,7.235035692517378e-06
258,7.808138381746395e-06
259,7.524321590060012e-06
260,7.743380816860595e-06
261,7.271020453748749e-06
262,7.326919154866724e-06
263,7.530643543723421e-06
264,7.319148962843357e-06
265,7.600612205314231e-06
266,7.401228223261476e-06
267,7.660584643535032e-06
268,7.791539242973639e-06
269,7.878513250686322e-06
270,8.026727696196167e-06
271,7.94152284899684e-06
272,7.773469294580556e-06
273,8.07026476752086e-06
274,8.291975922321848e-06
275,8.437235103816726e-06
276,7.715730330824996e-06
277,8.06375636632299e-06
278,7.996951227859079e-06
279,7.832959198246815e-06
280,8.274262469550377e-06
281,8.278229898240916e-06
282,8.02775505560151e-06
283,7.928016410950345e-06
284,8.151481029644382e-06
285,7.814081666821243e-06
286,8.444252269777648e-06
287,7.949949227844313e-06
288,8.395223568090214e-06
289,7.909416577983943e-06
290,8.1975460362574e-06
291,8.345288639844999e-06
292,8.05188190706675e-06
293,8.438211386042318e-06
294,8.384811422232468e-06
295,8.594913555218933e-06
296,8.422018240443759e-06
297,8.69321868257566e-06
298,8.50132651530843e-06
299,8.493163276936535e-06
300,8.747570866572544e-06
301,8.451428599370529e-06
302,8.786754370345693e-06
303,8.454192194837462e-06
304,8.488301161432919e-06
305,8.617497431885286e-06
306,8.887971482040536e-06
307,9.065856231656539e-06
308,8.630443557517391e-06
309,8.481613942600342e-06
310,8.887678291334471e-06
311,8.828236533838698e-06
312,8.469703228196449e-06
313,8.771195160477129e-06
314,9.052899288284069e-06
315,9.213245756865533e-06
316,9.146802021582908e-06
317,9.232926880408407e-06
318,9.67221662352294e-06
319,9.290586953843907e-06
320,9.101832981792547e-06
321,9.385959680058119e-06
322,9.241098678704695e-06
323,9.0051020342056e-06
324,9.18107281889939e-06
325,9.142089312276038e-06
326,9.094688535433223e-06
327,9.032960340639079e-06
328,9.207951053925985e-06
329,9.359734987428983e-06
330,9.206639384665118e-06
331,9.365545388432903e-06
332,9.134148816740905e-06
333,9.21827525377811e-06
334,9.525255580132271e-06
335,9.621814476344146e-06
336,9.451068193217813e-06
337,9.577530304543572e-06
338,9.466292177180954e-06
339,9.663590249912691e-06
340,9.54120657719807e-06
341,9.48945750493581e-06
342,9.775557784753489e-06
343,9.71355761183477e-06
344,1.0027051650897317e-05
345,9.678797106302242e-06
346,1.0306167817254116e-05
347,1.0313008079549953e-05
348,9.677064293607685e-06
349,9.882454323962767e-06
350,9.924313430239741e-06
351,9.794785253796916e-06
352,1.016016181953759e-05
353,1.0484631001132167e-05
354,1.0190437453297286e-05
355,1.0201120185859021e-05
356,1.0760526327261473e-05
357,1.0199999903256876e-05
358,9.990243886089202e-06
359,1.0175865466643386e-05
360,1.027835365468816e-05
361,1.0344489820287278e-05
362,1.0611437272033248e-05
363,1.0216053171037623e-05
364,1.0222392657853602e-05
365,1.0926559351310153e-05
366,1.0990243866003063e-05
367,1.0103673486476194e-05
368,1.0052706814064017e-05
369,1.0864365462398128e-05
370,1.0291897432090572e-05
371,1.0297242058109278e-05
372,1.0610896124545525e-05
373,1.0401936762735522e-05
374,1.0860692497184917e-05
375,1.0688445812764012e-05
376,9.952863036266362e-06
377,1.0488923058474962e-05
378,1.0840122216564173e-05
379,1.130292931529858e-05
380,1.0745269494507337e-05
381,1.0833706774305725e-05
382,1.0684974592647085e-05
383,1.0632588816918953e-05
384,1.0479695429885996e-05
385,1.0879795965073363e-05
386,1.0538265283982156e-05
387,1.081983718682613e-05
388,1.0945092071779072e-05
389,1.1315596353183867e-05
390,1.1261405230404016e-05
391,1.1079489915425014e-05
392,1.1264263937541704e-05
393,1.1029908435214557e-05
394,1.1222210956571395e-05
395,1.1412890178878527e-05
396,1.1353760113913851e-05
397,1.1117545631088404e-05
398,1.1334049049616079e-05
399,1.1598896665654847e-05
400,1.1630800362680393e-05
401,1.1540345506701425e-05
402,1.1369481052056244e-05
403,1.1532287519614387e-05
404,1.1518283948871622e-05
405,1.1656020388746045e-05
406,1.139734418911358e-05
407,1.2126315754439082e-05
408,1.1624294258229295e-05
409,1.1470182561780785e-05
410,1.150193678356482e-05
411,1.2534681537647189e-05
412,1.185191924947742e-05
413,1.2132555786840208e-05
414,1.1604989767337763e-05
415,1.1824390192605352e-05
416,1.1428105891908636e-05
417,1.188873102179927e-05
418,1.1886571783299813e-05
419,1.2489827087758694e-05
420,1.2241649702851672e-05
421,1.1937322514060825e-05
422,1.1881147537544583e-05
423,1.2567915015421273e-05
424,1.1988265281133306e-05
425,1.1959429065484238e-05
426,1.2389787687340664e-05
427,1.2192588854553934e-05
428,1.2488809882237794e-05
429,1.2145879958689475e-05
430,1.2083095657683542e-05
431,1.2607535631504941e-05
432,1.2397461963479458e-05
433,1.2230040712426455e-05
434,1.2424746478384013e-05
435,1.2219086366819057e-05
436,1.2427947181058107e-05
437,1.2408443481155926e-05
438,1.2495454494556825e-05
439,1.2399082538719497e-05
440,1.2313715449928524e-05
441,1.2651227027985337e-05
442,1.2435066224696261e-05
443,1.2706924616063987e-05
444,1.3102229003201917e-05
445,1.3098475647427954e-05
446,1.2541582160175949e-05
447,1.2763061278412945e-05
448,1.3032719810703504e-05
449,1.3077416019375641e-05
450,1.2689103784234985e-05
451,1.321923074922628e-05
452,1.3567106605496797e-05
453,1.320691050447446e-05
454,1.304159014412557e-05
455,1.2593871186224819e-05
456,1.2908052980989288e-05
