,0
1,1.0832146811796426e-06
2,6.305014732114574e-07
3,5.720160286950644e-07
4,4.971904344454555e-07
5,4.905056790689005e-07
6,4.880878186440183e-07
7,4.876299257273544e-07
8,4.836628544236399e-07
9,4.847757628455086e-07
10,5.111445621498505e-07
11,4.793103831643073e-07
12,4.783924814850279e-07
13,4.800206570470066e-07
14,4.828012554141876e-07
15,5.047283412572896e-07
16,5.101202717384525e-07
17,4.871662951337969e-07
18,4.695924674391906e-07
19,5.066065785502577e-07
20,4.7393564155024524e-07
21,5.064128213881689e-07
22,4.771458032717225e-07
23,4.7435097935293276e-07
24,5.087261953133783e-07
25,5.054054592430285e-07
26,5.120482309719073e-07
27,4.808204838086684e-07
28,5.02905795237055e-07
29,5.077154693246925e-07
30,5.060120276688693e-07
31,5.021041786363013e-07
32,5.025075248338902e-07
33,4.753653375475156e-07
34,4.842430564774398e-07
35,4.7432432833840206e-07
36,4.742171375118857e-07
37,5.075075008775442e-07
38,4.900305566618585e-07
39,4.791925385833947e-07
40,4.86564079974181e-07
41,4.931104971825314e-07
42,5.030059745292159e-07
43,4.785345287362096e-07
44,4.791322530500787e-07
45,4.951219798237979e-07
46,5.082082032721054e-07
47,4.782291284755047e-07
48,5.011077891014824e-07
49,5.076228806313684e-07
50,5.060180065321569e-07
51,5.06706719470394e-07
52,4.797086743097636e-07
53,4.800000509073466e-07
54,5.066198457222537e-07
55,5.116232308707963e-07
56,4.892196689789266e-07
57,5.087175064793469e-07
58,5.09309309115913e-07
59,5.086099744520316e-07
60,4.851086654593434e-07
61,5.102101804605136e-07
62,5.098294443147277e-07
63,4.864249401363915e-07
64,4.872558808350459e-07
65,5.088620255246369e-07
66,4.834546870806397e-07
67,4.832124201233446e-07
68,4.812695035002505e-07
69,5.07815634035776e-07
70,4.80996848859893e-07
71,4.806250103683851e-07
72,5.156312482597172e-07
73,5.410822089840816e-07
74,4.855799625575146e-07
75,4.837668642755907e-07
76,5.155466174087492e-07
77,4.877846913210234e-07
78,4.874481913765035e-07
79,5.190380258585526e-07
80,5.181362445467153e-07
81,4.797283021571132e-07
82,4.953846002582652e-07
83,4.907676696676386e-07
84,4.940329408445568e-07
85,4.965838473123898e-07
86,5.21564666310712e-07
87,4.934224156870527e-07
88,4.930856442850245e-07
89,5.048553601618325e-07
90,4.934579727125305e-07
91,4.890382732252659e-07
92,4.871768695786268e-07
93,4.91761132633797e-07
94,5.105740077932405e-07
95,5.206412809316763e-07
96,4.976506183728712e-07
97,4.902992904115607e-07
98,5.216432634072904e-07
99,4.916322166927559e-07
100,5.217653754624513e-07
101,5.109312093445771e-07
102,4.971104765227267e-07
103,4.992842834832333e-07
104,5.203611265896906e-07
105,5.255510322439329e-07
106,5.174523527201998e-07
107,5.32164279891053e-07
108,5.236948256431817e-07
109,4.891666321782395e-07
110,4.997953477097788e-07
111,5.202811450314573e-07
112,4.97414657353465e-07
113,5.206206082333778e-07
114,4.950310216274684e-07
115,4.945248382840468e-07
116,4.989712725085908e-07
117,5.170682874245449e-07
118,4.901041468959496e-07
119,5.119598728613975e-07
120,5.177532029856621e-07
121,4.934647705449909e-07
122,5.14386238045878e-07
123,5.00614138700434e-07
124,5.221887681636507e-07
125,4.860851458848772e-07
126,4.942088869820236e-07
127,5.387775020212876e-07
128,4.950051902951799e-07
129,4.930353836372317e-07
130,4.961776833000886e-07
131,4.946224841651831e-07
132,4.915974986716753e-07
133,4.898339959926115e-07
134,5.195195060311905e-07
135,4.96700968798586e-07
136,4.968041223749883e-07
137,5.217217140771855e-07
138,5.219219522180131e-07
139,4.912590942407098e-07
140,5.18875504533216e-07
141,5.2264527139979e-07
142,4.913810532559909e-07
143,4.965909133453118e-07
144,5.205822389139925e-07
145,4.941055563450892e-07
146,4.943983838386269e-07
147,5.075433570072796e-07
148,5.213426672064984e-07
149,5.395185587861843e-07
150,4.927159362929533e-07
151,5.220441446130543e-07
152,4.964803494515445e-07
153,5.03779308341512e-07
154,4.97623941480338e-07
155,4.92403725027441e-07
156,5.20682739904833e-07
157,4.979274713692444e-07
158,4.934579387127286e-07
159,5.188188218447316e-07
160,4.955486502745681e-07
161,5.188376526931535e-07
162,5.178178205048559e-07
163,4.871101561232359e-07
164,5.199398946568541e-07
165,4.958376968856107e-07
166,5.243486948292665e-07
167,5.208209228482344e-07
168,5.202405017934542e-07
169,4.983538603460428e-07
170,4.928199726442295e-07
171,5.192964476119053e-07
172,5.075432828384965e-07
173,4.952528021515562e-07
174,5.154084466492147e-07
175,5.069000288114205e-07
176,5.274549272610808e-07
177,5.222222475217072e-07
178,5.070407422287959e-07
179,5.016546332430973e-07
180,4.975206875239887e-07
181,4.959417180944153e-07
182,4.951345571485497e-07
183,5.081632925608499e-07
184,5.266800294060413e-07
185,4.967808791328422e-07
186,5.473473709560483e-07
187,5.547547473682201e-07
188,5.31250053114252e-07
189,5.433734456225893e-07
190,5.290616178221617e-07
191,5.368737710412603e-07
192,4.966908049104676e-07
193,5.168724525037199e-07
194,5.296593237020176e-07
195,5.065709005817064e-07
196,5.127966977748155e-07
197,4.983350425184793e-07
198,5.263263755932439e-07
199,5.232697836935629e-07
200,5.232464346392192e-07
201,4.988636504072207e-07
202,5.173554177605739e-07
203,4.957424874041763e-07
204,4.93989617550514e-07
205,4.917270104369995e-07
206,4.916236384166453e-07
207,4.938860727568191e-07
208,5.161971902246146e-07
209,4.9567010437292e-07
210,4.975181159027876e-07
211,5.190380440848993e-07
212,5.199599272217471e-07
213,5.177355310233414e-07
214,5.029743941775404e-07
215,5.016460178281974e-07
216,4.995880735655393e-07
217,4.994845589065981e-07
218,5.219438668986211e-07
219,5.211635289745034e-07
220,4.959752506798016e-07
221,4.980412752009909e-07
222,4.982456535589185e-07
223,5.022564138739537e-07
224,5.006172333522067e-07
225,5.257258177604396e-07
226,5.249249088965744e-07
227,5.25602492606445e-07
228,4.970984118134073e-07
229,5.225676793262732e-07
230,5.236710086039855e-07
231,5.242485155371057e-07
232,5.198588430557134e-07
233,5.054415061219368e-07
234,5.511534572221664e-07
235,5.274648267564493e-07
236,5.23670986710432e-07
237,5.285571181910105e-07
238,5.274923494677008e-07
239,5.291582559135543e-07
240,5.300200508239335e-07
241,5.134693291976725e-07
242,5.052685751740855e-07
243,5.29258508111102e-07
244,5.031992441405598e-07
245,5.030991709916198e-07
246,5.041279762039505e-07
247,5.27555143005935e-07
248,5.047422296369986e-07
249,5.109295605960568e-07
250,5.04517470710209e-07
251,5.221442655809056e-07
252,5.040082759640245e-07
253,5.007195019941846e-07
254,5.233701437428208e-07
255,4.952182805902865e-07
256,5.121427699234526e-07
257,5.841513023226558e-07
258,6.493826641630737e-07
259,6.14109162396361e-07
260,5.820618359403223e-07
261,5.847847657147664e-07
262,5.75325983687871e-07
263,5.779559383418911e-07
264,5.743229633744586e-07
265,5.714859779906388e-07
266,5.482510377501077e-07
267,5.738214440954384e-07
268,5.717587966738671e-07
269,5.466390312398902e-07
270,5.86817764738732e-07
271,5.726814775229169e-07
272,5.707955848981794e-07
273,5.519587577191018e-07
274,5.46225392673311e-07
275,5.855856053878435e-07
276,5.565439868106074e-07
277,5.586912052264029e-07
278,5.511819733280922e-07
279,5.71155813569437e-07
280,6.186558839672599e-07
281,5.696189482974505e-07
282,5.570990901806157e-07
283,5.742485390253783e-07
284,5.587995772265156e-07
285,5.579108404976544e-07
286,5.493305736709574e-07
287,5.761762080878183e-07
288,5.756784903222517e-07
289,5.751004414286943e-07
290,5.740442374038137e-07
291,5.777108081056358e-07
292,5.475103346299074e-07
293,5.505165228731296e-07
294,5.546296310013183e-07
295,5.498964307378056e-07
296,5.75075349998637e-07
297,5.50207473245629e-07
298,5.556012351912488e-07
299,5.845845639901432e-07
300,5.766128563869466e-07
301,5.84243072347186e-07
302,5.775633658670116e-07
303,5.505676166540332e-07
304,5.580246961247291e-07
305,5.828973393495171e-07
306,5.607762915273487e-07
307,5.786573136809052e-07
308,5.501035206100863e-07
309,5.516993324835828e-07
310,5.996963199532519e-07
311,5.78212838223247e-07
312,5.577709788591305e-07
313,5.796797237022444e-07
314,5.5190522110293e-07
315,5.780560666002811e-07
316,5.802605651087596e-07
317,5.522680834305386e-07
318,5.548453363817972e-07
319,5.505165905214957e-07
320,5.557142444280433e-07
321,5.542180453496123e-07
322,5.728585452552101e-07
323,5.688139407741713e-07
324,5.711268089766477e-07
325,5.456522087480749e-07
326,5.768304648974942e-07
327,5.471074736539047e-07
328,5.731193360792232e-07
329,5.701701563491195e-07
330,5.69809351895012e-07
331,5.705231131111615e-07
332,5.471193868034029e-07
333,5.610942143617574e-07
334,5.486125320845589e-07
335,5.521649561075916e-07
336,5.487099985983242e-07
337,5.459152277045707e-07
338,5.754262452161382e-07
339,5.497941770363281e-07
340,5.475848124188803e-07
341,5.728643363863511e-07
342,5.52160476397631e-07
343,5.731831919930936e-07
344,5.733668162129426e-07
345,5.493814297579709e-07
346,5.556574920759603e-07
347,5.768304211103872e-07
348,5.679074649078775e-07
349,5.726907808737115e-07
350,5.735470871357079e-07
351,5.525232241577713e-07
352,5.729103716540977e-07
353,5.471620517561809e-07
354,5.767768169033086e-07
355,6.041163942427374e-07
356,5.590163187870992e-07
357,5.480331190023957e-07
358,5.723447570115802e-07
359,5.668686597603326e-07
360,5.5092224459661e-07
361,5.692152487501967e-07
362,5.63995880290864e-07
363,5.72417228063008e-07
364,5.724949243593702e-07
365,5.589979634680242e-07
366,5.647715454126902e-07
367,5.49742016972305e-07
368,5.437759531582648e-07
369,5.863221856909819e-07
370,5.62012435140966e-07
371,5.426501267935259e-07
372,5.402274754484913e-07
373,5.728016416830294e-07
374,5.4268038906061e-07
375,5.673554151445003e-07
376,5.80842571693623e-07
377,5.693386892908494e-07
378,5.38326373714896e-07
379,5.404958906446387e-07
380,5.402477220002604e-07
381,5.940823807180724e-07
382,5.452479478460063e-07
383,5.629293240178753e-07
384,5.67236207671295e-07
385,5.747173406841292e-07
386,5.908726544132028e-07
387,5.423992058354205e-07
388,5.71543114893941e-07
389,5.402477220002604e-07
390,5.407407673527563e-07
391,5.633571303910466e-07
392,5.470588405328727e-07
393,5.694388758735489e-07
394,5.701103736599767e-07
395,5.483970628661752e-07
396,5.608122315089961e-07
397,5.407675673411792e-07
398,5.673694296461346e-07
399,5.415113942346229e-07
400,5.613131243723793e-07
401,5.398138782653319e-07
402,5.735205828831994e-07
403,5.409937618214996e-07
404,5.416148807973974e-07
405,5.470888700575945e-07
406,6.234234509368738e-07
407,5.783566956084972e-07
408,5.631896207067525e-07
409,5.482616928379396e-07
410,5.662650656598867e-07
411,5.375645605782845e-07
412,5.360164973508543e-07
413,5.648240412529277e-07
414,5.620585261246398e-07
415,5.577935129997927e-07
416,5.612449799865357e-07
417,5.603621870638162e-07
418,5.592928738968278e-07
419,5.416494946309951e-07
420,5.654271230763807e-07
421,5.648946213239847e-07
422,5.488229768401719e-07
423,5.661661036485514e-07
424,5.404540806226874e-07
425,5.624874871480582e-07
426,5.444902185150197e-07
427,5.543768361793978e-07
428,5.47897402728454e-07
429,5.370867587440774e-07
430,5.378881669420109e-07
431,5.384456507145027e-07
432,5.696393182990654e-07
433,5.38262635825304e-07
434,5.604440344480646e-07
435,5.340956696894856e-07
436,5.436733958123689e-07
437,5.60682057151982e-07
438,5.369722659974892e-07
439,5.424897556064781e-07
440,5.64228462745652e-07
441,5.577193755434692e-07
442,5.418293691720748e-07
443,5.733732892609611e-07
444,5.413402214264689e-07
445,5.408016121170971e-07
446,5.681043111395984e-07
447,5.418557117719529e-07
448,5.503105313958711e-07
449,5.481026033894756e-07
450,5.656312753932592e-07
451,5.579052551242468e-07
452,5.368148632209859e-07
453,5.397329972452127e-07
454,5.655655130411631e-07
455,5.43852421720121e-07
456,5.361483031373095e-07
457,5.637274423456902e-07
458,5.624624300089472e-07
459,5.44739412062966e-07
460,5.40309326996854e-07
461,5.385492407473123e-07
462,5.629518641234679e-07
463,5.953722395144789e-07
464,5.421161894827571e-07
465,5.66599848174603e-07
466,5.52766435203757e-07
467,5.444784775844838e-07
468,5.627254525795373e-07
469,5.558853549370399e-07
470,5.590908631807043e-07
471,5.585341671075912e-07
472,5.546371136416941e-07
473,5.572289034121588e-07
474,5.351239489138892e-07
475,5.595787169274929e-07
476,5.377184082529022e-07
477,5.585170437988708e-07
478,5.557343486267361e-07
479,5.399587880805649e-07
480,5.424459635821829e-07
481,5.551307662193414e-07
482,5.320578353610006e-07
483,5.583166560523944e-07
484,5.347466929608642e-07
485,5.375000373384015e-07
486,5.612224825113855e-07
487,5.316769734170099e-07
488,5.320247630362615e-07
489,5.625626401198717e-07
490,5.764528261082348e-07
491,5.462089970411607e-07
492,5.362693778627644e-07
493,5.564646944732904e-07
494,5.441598383841948e-07
495,5.420944824966829e-07
496,5.419753109696111e-07
497,5.414183149561727e-07
498,5.411522931200375e-07
499,5.657974238962369e-07
500,5.412976429608279e-07
501,5.425334729788485e-07
502,5.358762922996809e-07
503,5.370102840482939e-07
504,5.571572794524986e-07
505,5.67971840219144e-07
506,5.39918157967673e-07
507,5.599194753965249e-07
508,5.619860080072195e-07
509,5.437628001094641e-07
510,5.425466665929168e-07
511,5.70635712768048e-07
512,5.530193611906084e-07
513,5.61933530805715e-07
514,5.651606359270338e-07
515,5.952478738233239e-07
516,5.978872650302947e-07
517,5.603714777174491e-07
518,5.85785774337883e-07
519,5.72727312277438e-07
520,5.799398275041802e-07
521,5.727822554035811e-07
522,5.680485518192034e-07
523,5.540763740033734e-07
524,5.517063143597136e-07
525,5.52777780019659e-07
526,5.757545595752053e-07
527,6.22759342118807e-07
528,5.906813658476679e-07
529,5.610711218206064e-07
530,5.824948778791518e-07
531,5.587269219479502e-07
532,6.172413897663299e-07
533,5.664953889343447e-07
534,5.577319337969608e-07
535,5.620020228322497e-07
536,5.616955890770206e-07
537,5.536082848191223e-07
538,5.577915087469611e-07
539,5.839518321303926e-07
540,5.590535479706977e-07
541,5.595875842755987e-07
542,5.804019835052179e-07
543,5.58367799776308e-07
544,5.852557282517463e-07
545,5.863863904366141e-07
546,5.87349424757443e-07
547,5.569659653806942e-07
548,5.62936414526326e-07
549,5.597523342716144e-07
550,5.634221273138509e-07
551,5.609856473709394e-07
552,5.643221229399297e-07
553,6.188508025168689e-07
554,5.918675095338962e-07
555,5.646639348179872e-07
556,5.821822124854517e-07
557,5.581611791163325e-07
558,5.59650916273675e-07
559,5.584964519088472e-07
560,5.797189285760805e-07
561,5.609856511060306e-07
562,5.585390097644168e-07
563,5.599177624771366e-07
564,5.804019835052179e-07
565,5.59548328259388e-07
566,5.716885096279111e-07
567,5.559670934877589e-07
568,5.79216891153291e-07
569,5.721941813252136e-07
570,5.785498469667031e-07
571,5.691996016567941e-07
572,5.558521492615652e-07
573,5.747729279927902e-07
574,6.118951373977208e-07
575,5.926780953560559e-07
576,5.593011194609397e-07
577,5.838677887783809e-07
578,5.645854490656147e-07
579,5.807229084543413e-07
580,5.827309120419326e-07
581,5.59403913861087e-07
582,5.623844205373123e-07
583,5.890452032429096e-07
584,5.828973613091477e-07
585,5.568345548740118e-07
586,5.6030768647384e-07
587,5.57818929498312e-07
588,5.769849561526903e-07
589,5.785282412269284e-07
590,5.678499351150751e-07
591,5.624872725421352e-07
592,5.579325353510835e-07
593,5.773092826314543e-07
594,5.524152032765373e-07
595,5.917864418024431e-07
596,5.665640473568764e-07
597,5.733332121356701e-07
598,5.567179528626207e-07
599,5.935818225607626e-07
600,5.610882951466853e-07
601,5.533058153432197e-07
602,5.562500235577854e-07
603,5.467010307312971e-07
604,5.53388143227449e-07
605,5.782347575573619e-07
606,5.68250821969501e-07
607,5.759036165650889e-07
608,5.764587683300066e-07
609,5.775776274434223e-07
610,5.574641834193619e-07
611,5.527291315102741e-07
612,5.768611968609259e-07
613,5.800601153927043e-07
614,5.515996200105577e-07
615,5.542181389190261e-07
616,6.055221552764211e-07
617,5.556935349028118e-07
618,5.512345396784716e-07
619,5.555327639800065e-07
620,5.72791172286877e-07
621,5.707785624778134e-07
622,5.780340739481016e-07
623,5.629705217792932e-07
624,5.792339651076961e-07
625,5.658241319321793e-07
626,5.769769858533481e-07
627,5.507740165744653e-07
628,5.700302774715777e-07
629,5.547888681890077e-07
630,5.533950499566981e-07
631,5.486597972814013e-07
632,5.450879543335413e-07
633,5.717434844140706e-07
634,5.724068211655584e-07
635,5.515400350530818e-07
636,5.440537525774794e-07
637,5.909182816096811e-07
638,5.544707510368621e-07
639,5.751751302739137e-07
640,5.440082952927621e-07
641,5.628166038174043e-07
642,5.436401140109002e-07
643,5.440537713881247e-07
644,5.680765053161213e-07
645,5.517346631231889e-07
646,5.447070964038725e-07
647,5.407867359716202e-07
648,5.407637255557046e-07
649,5.482051682730133e-07
650,5.444901997818641e-07
651,5.69107294963755e-07
652,5.455200774878087e-07
653,5.445360132857926e-07
654,5.501534828764625e-07
655,5.484135161814572e-07
656,5.714141639624886e-07
657,5.704408182512002e-07
658,5.6379667512374e-07
659,5.767067405652352e-07
660,5.537755840828604e-07
661,5.726726851901515e-07
662,5.426059837352905e-07
663,5.457260672661958e-07
664,5.447313548553993e-07
665,5.424742544305117e-07
666,5.393189073408598e-07
667,5.396907430828654e-07
668,5.54969475597982e-07
669,5.66465852138807e-07
670,5.474385220548386e-07
671,5.409886807730339e-07
672,5.436793393488947e-07
673,5.396499120652863e-07
674,5.589718020635173e-07
675,5.379524783808218e-07
676,5.447638401086585e-07
677,5.668004259650213e-07
678,5.451546609581726e-07
679,5.613871600370908e-07
680,5.980431848305376e-07
681,5.535677706761596e-07
682,5.415288887137244e-07
683,5.604440050799208e-07
684,5.459487371039218e-07
685,5.401647591257965e-07
