,0
1,9.313131820156493e-07
2,5.301603331661714e-07
3,6.764407914237348e-07
4,8.485368536959105e-07
5,9.403807882540104e-07
6,9.337349307812641e-07
7,9.237663131155643e-07
8,9.526957741250224e-07
9,9.860182074552049e-07
10,1.0244713293766925e-06
11,1.045080268914282e-06
12,1.0688955960887284e-06
13,1.0581633117054684e-06
14,1.1198795421598817e-06
15,1.1459920234394488e-06
16,1.1470110989892864e-06
17,1.1724593302157398e-06
18,1.205555544760445e-06
19,1.2637186288276697e-06
20,1.2565656262920286e-06
21,1.2734817978838809e-06
22,1.2991911770445855e-06
23,1.2990872505955439e-06
24,1.325679744748785e-06
25,1.3281504006436893e-06
26,1.3395560830800985e-06
27,1.367073224631954e-06
28,1.3566362258320977e-06
29,1.400702179124889e-06
30,1.4229376602253148e-06
31,1.4383837888181925e-06
32,1.5027026884846045e-06
33,1.4087090042520402e-06
34,1.5037111294212487e-06
35,1.4708502157916492e-06
36,1.5122736428824012e-06
37,1.5381143236948026e-06
38,1.5191488415465182e-06
39,1.5688755882431259e-06
40,1.5864048272097897e-06
41,1.550202505461078e-06
42,1.5730111081467816e-06
43,1.5592292047346117e-06
44,1.6050200692149362e-06
45,1.5960684894737148e-06
46,1.581440127966406e-06
47,1.629364211170997e-06
48,1.63726082171547e-06
49,1.582688357799111e-06
50,1.6510616849045692e-06
51,1.6110435190665788e-06
52,1.6612348264035663e-06
53,1.6486322108123983e-06
54,1.6886659865694936e-06
55,1.6204683898351594e-06
56,1.6696663048455945e-06
57,1.66999996842921e-06
58,1.719738142666888e-06
59,1.7687500494209797e-06
60,1.7029531391054418e-06
61,1.7727181080022572e-06
62,1.7461615767167655e-06
63,1.6866868471088384e-06
64,1.7401821552721598e-06
65,1.7598377240282855e-06
66,1.7521916662291105e-06
67,1.8742742088636863e-06
68,1.8019114134475303e-06
69,1.7756097893253333e-06
70,1.8242116388533214e-06
71,1.7818641836654486e-06
72,1.7485219543082043e-06
73,1.8548125771733932e-06
74,1.8667343038235344e-06
75,1.8290779795148527e-06
76,1.8353658797571007e-06
77,1.826363667431805e-06
78,1.8423312893415874e-06
79,1.8271530869632975e-06
80,1.8839068671449008e-06
81,1.8287894522912407e-06
82,1.8941473071209664e-06
83,1.8441386509114245e-06
84,1.8788403280137159e-06
85,1.8613660677749603e-06
86,1.928816974766673e-06
87,1.91765887767084e-06
88,1.956319535425153e-06
89,1.9587462364978e-06
90,1.8974618843241316e-06
91,1.9234042422619026e-06
92,1.913056632607321e-06
93,1.941539953634277e-06
94,1.9624242218060778e-06
95,2.0009045228514183e-06
96,1.9408907016776013e-06
97,1.936419140419611e-06
98,1.9360771857907642e-06
99,1.9228016359613474e-06
100,1.936938701410141e-06
101,1.9847628284646546e-06
102,1.973780473509408e-06
103,1.9675813502278577e-06
104,1.9535715033939316e-06
105,2.0233635315078347e-06
106,1.97443983786931e-06
107,2.045500502810758e-06
108,2.0781562980374074e-06
109,2.02036290653679e-06
110,2.0257773332556087e-06
111,2.0153226299249407e-06
112,2.011099831810953e-06
113,2.009898966979094e-06
114,2.067234495124884e-06
115,2.0793554618284538e-06
116,2.0654582399040207e-06
117,2.0179303512540187e-06
118,2.0696047544344908e-06
119,2.0415557674053644e-06
120,2.0438578670612788e-06
121,2.0975806203369434e-06
122,2.0458333094167046e-06
123,2.0548682048565916e-06
124,2.06930097398936e-06
125,2.091111148022012e-06
126,2.0560081239672123e-06
127,2.1113475277539145e-06
128,2.1160480886786044e-06
129,2.1697487170227697e-06
130,2.0924336056437835e-06
131,2.1563323962798468e-06
132,2.1334339655051337e-06
133,2.1195939931425215e-06
134,2.1170557180814313e-06
135,2.1383603091558126e-06
136,2.1467005806209206e-06
137,2.206036292893252e-06
138,2.1565657435631792e-06
139,2.1977755178415374e-06
140,2.1628687026297498e-06
141,2.2091918557028596e-06
142,2.219898974866315e-06
143,2.2176945810919557e-06
144,2.1816513522586973e-06
145,2.2128309135547177e-06
146,2.1908906942574205e-06
147,2.2251527885256273e-06
148,2.2015306670681993e-06
149,2.2577392649855806e-06
150,2.2209938579254534e-06
151,2.261515148366199e-06
152,2.2177189455949466e-06
153,2.196938758246762e-06
154,2.235126900126174e-06
155,2.235801143769617e-06
156,2.233130637551125e-06
157,2.2930723341952368e-06
158,2.2996978364799974e-06
159,2.2973550753838487e-06
160,2.3020303793083686e-06
161,2.3008048685709806e-06
162,2.303553314797987e-06
163,2.285699749638895e-06
164,2.3463389524137236e-06
165,2.3446916613440126e-06
166,2.316801678366923e-06
167,2.3614141493012675e-06
168,2.343628920921363e-06
169,2.3320201624742228e-06
170,2.334949547528393e-06
171,2.3099089055065504e-06
172,2.2853238237156866e-06
173,2.3552976622327027e-06
174,2.3639143945860022e-06
175,2.3682926927527082e-06
176,2.3329280813216593e-06
177,2.3893038104661843e-06
178,2.3742713262011113e-06
179,2.341919187327019e-06
180,2.3504048601209527e-06
181,2.3370820523184e-06
182,2.3389058260142373e-06
183,2.3395748623281055e-06
184,2.347363132524633e-06
185,2.4115114764835277e-06
186,2.388877676465832e-06
187,2.4380282360345493e-06
188,2.4385627670280037e-06
189,2.397058793783054e-06
190,2.377429132783165e-06
191,2.4074447363867075e-06
192,2.3459734851551395e-06
193,2.378723437711738e-06
194,2.366937966950973e-06
195,2.409687203816331e-06
196,2.4054545285638816e-06
197,2.3793067533791515e-06
198,2.343133268977344e-06
199,2.384397261895158e-06
200,2.4242423813745397e-06
201,2.453629085427946e-06
202,2.3688392034023357e-06
203,2.376345196930304e-06
204,2.3776986413052526e-06
205,2.365548824877251e-06
206,2.4221881548326523e-06
207,2.4304656203879094e-06
208,2.4320162298016744e-06
209,2.436906026221465e-06
210,2.4632860358408225e-06
211,2.4027550742695373e-06
212,2.4267004671043287e-06
213,2.4349495299358034e-06
214,2.403251972104843e-06
215,2.438617910199791e-06
216,2.432056417532177e-06
217,2.39289350565972e-06
218,2.436558067238588e-06
219,2.4160732859072947e-06
220,2.443890065285984e-06
221,2.4293818760943047e-06
222,2.4347870101366837e-06
223,2.4536905900108618e-06
224,2.4842105564971923e-06
225,2.4446808817851136e-06
226,2.400920233141216e-06
227,2.4837537321044033e-06
228,2.424719121548051e-06
229,2.4377415762003415e-06
230,2.455453703135573e-06
231,2.5065305431335402e-06
232,2.446598996057265e-06
233,2.4852940882544333e-06
234,2.513807156887898e-06
235,2.48188256304466e-06
236,2.4782827890106487e-06
237,2.4414633420140794e-06
238,2.4518820334350007e-06
239,2.4510182624269286e-06
240,2.460285109500287e-06
241,2.4760891156464063e-06
242,2.430581008911249e-06
243,2.4928642872980697e-06
244,2.4624236668161328e-06
245,2.476829269017629e-06
246,2.4449289681930207e-06
247,2.5318592885361714e-06
248,2.495151457336797e-06
249,2.4898682460351636e-06
250,2.457027278696465e-06
251,2.486450993797306e-06
252,2.62259042453176e-06
253,2.47074416885461e-06
254,2.5301411633629486e-06
255,2.5268882574419297e-06
256,2.5009100210167377e-06
257,2.5483870573342786e-06
258,2.640283430067762e-06
259,2.5765893309328735e-06
260,2.568724648365968e-06
261,2.5335025942889114e-06
262,2.553144045962582e-06
263,2.532451750530832e-06
264,2.5339431220611625e-06
265,2.5614530887613573e-06
266,2.6023046342823522e-06
267,2.584919030018111e-06
268,2.5675756596040566e-06
269,2.6052737622484036e-06
270,2.6551619717233384e-06
271,2.605177687101662e-06
272,2.694010138003449e-06
273,2.623582938548153e-06
274,2.5760162323540572e-06
275,2.559285701640967e-06
276,2.6319191796702775e-06
277,2.6127659521863455e-06
278,2.602327988453083e-06
279,2.6456653454114267e-06
280,2.6641565933554754e-06
281,2.65635074561766e-06
282,2.6595551810800347e-06
283,2.62124872659047e-06
284,2.5991894870728966e-06
285,2.6440969321784666e-06
286,2.581345581494188e-06
