,0
1,1.934239722193713e-06
2,1.8128542358143846e-06
3,1.4496481425746638e-06
4,1.9256797449054594e-06
5,1.802010093575774e-06
6,1.7901507981973302e-06
7,1.6787941458384775e-06
8,2.1641451046305075e-06
9,2.1460350323456457e-06
10,2.2316264484431144e-06
11,2.068619255338665e-06
12,2.0869159309722014e-06
13,2.221743479439427e-06
14,2.313908586942775e-06
15,2.269888109635772e-06
16,2.73549375315307e-06
17,2.553264301787782e-06
18,2.592110637929405e-06
19,2.5434603659667737e-06
20,2.6254341119186395e-06
21,2.6333333702824685e-06
22,2.5418314017788153e-06
23,2.572484645759209e-06
24,2.5405796942449083e-06
25,2.511007333999289e-06
26,2.534400795983037e-06
27,2.5179274449573705e-06
28,2.729524784285671e-06
29,2.687048242613486e-06
30,2.6237899578120328e-06
31,2.6478348375771246e-06
32,2.933089786600701e-06
33,3.0370070951561377e-06
34,2.970166280416708e-06
35,2.9514492848224257e-06
36,2.9631959778177506e-06
37,3.068623469730317e-06
38,3.0666331425773903e-06
39,3.057099697482561e-06
40,3.1739959612090876e-06
41,3.067173209185726e-06
42,2.8712789072172883e-06
43,2.9242487174610806e-06
44,3.120463713545882e-06
45,3.045164542568516e-06
46,3.0362245153661875e-06
47,2.9786528734166966e-06
48,2.9909091465902028e-06
49,3.013402043113283e-06
50,3.197188846800611e-06
51,3.1248226854643525e-06
52,3.082382912326001e-06
53,3.0116254320727957e-06
54,3.0057054229843415e-06
55,2.9872537716026443e-06
56,3.0938838018179434e-06
57,3.21302599958816e-06
58,3.1872362127450373e-06
59,3.0736240620523216e-06
60,2.9481171284364846e-06
61,3.094779918346356e-06
62,2.9957336475384594e-06
63,2.978980244073385e-06
64,3.515195057694408e-06
65,3.347379428099507e-06
66,3.5576805727765256e-06
67,3.6610611307726535e-06
68,3.422892887735716e-06
69,3.5692698915942872e-06
70,3.4230289990973613e-06
71,3.4736081699483076e-06
72,3.431987657135075e-06
73,3.619187870943389e-06
74,3.3963693318711264e-06
75,3.3832987759509162e-06
76,3.6403613946558142e-06
77,3.331347950490906e-06
78,3.347703547693064e-06
79,3.5812310843273158e-06
80,3.481141680232833e-06
81,3.4055958233274268e-06
82,3.4018575196249085e-06
83,3.3406866882439764e-06
84,3.326513566712787e-06
85,3.365135587704959e-06
